flex1,flex2,flex3,flex4,flex5,gyroRotX,gyroRotY,gyroRotZ,gyroAccX,gyroAccY,gyroAccZ,Phrase
112,71,112,143,100,-8.15,1.69,-5.42,-0.10,-0.07,0.01,rock
113,77,112,143,100,-8.30,1.81,-5.37,-0.05,0.10,0.03,rock
112,81,112,142,100,-8.15,1.91,-5.13,-0.07,0.06,0.12,rock
112,69,113,142,100,-8.69,1.97,-5.38,-0.15,0.21,-0.04,rock
111,78,113,143,100,-8.63,1.92,-5.57,-0.34,-0.04,0.03,rock
108,80,111,142,99,-8.35,1.77,-5.33,-0.13,-0.06,0.06,rock
110,71,113,143,101,-8.20,1.82,-5.26,-0.16,0.02,0.05,rock
111,80,113,143,101,-7.81,1.77,-5.08,-0.02,0.06,0.08,rock
111,79,112,142,100,-8.48,1.60,-5.51,0.02,0.06,0.07,rock
112,73,113,142,100,-7.96,2.14,-5.48,-0.02,-0.09,0.16,rock
112,81,113,143,101,-8.05,2.12,-5.53,0.03,0.04,0.11,rock
113,76,112,142,100,-7.83,1.92,-5.56,-0.04,0.07,0.04,rock
112,74,112,143,100,-7.74,2.13,-5.82,-0.04,0.05,-0.02,rock
112,81,112,143,100,-8.21,2.00,-5.71,-0.13,0.09,-0.14,rock
111,74,111,142,100,-8.09,2.01,-5.46,-0.08,-0.06,-0.08,rock
112,75,112,143,101,-7.94,2.01,-5.70,-0.01,-0.06,0.02,rock
112,84,112,143,101,-8.03,2.11,-5.77,-0.09,-0.18,0.01,rock
112,72,114,142,101,-7.94,2.02,-5.49,-0.16,-0.12,-0.04,rock
112,316,113,143,101,-8.03,1.70,-5.67,-0.17,0.10,0.01,rock
112,76,114,143,101,-7.28,2.09,-5.11,-0.34,-0.26,0.09,rock
112,81,114,142,101,-8.72,2.12,-5.82,0.12,0.24,-0.02,rock
112,69,114,143,101,-7.75,2.74,-5.54,0.03,0.20,-0.20,rock
113,79,114,143,102,-8.23,1.94,-6.09,0.02,0.05,-0.21,rock
113,81,114,143,101,-8.66,1.48,-6.62,-0.08,-0.03,-0.19,rock
113,70,114,143,101,-8.29,1.16,-6.21,-0.12,-0.03,-0.13,rock
113,80,114,143,101,-8.69,1.59,-6.04,-0.09,-0.09,-0.02,rock
112,80,113,142,101,-8.21,1.23,-5.90,-0.15,-0.20,0.08,rock
113,81,114,143,102,-8.08,1.49,-5.30,-0.13,0.05,0.02,rock
113,78,114,142,101,-8.25,1.52,-5.43,-0.11,-0.01,0.01,rock
112,74,114,142,101,-8.20,1.30,-5.30,-0.10,-0.03,0.04,rock
113,81,114,142,102,-8.09,1.51,-5.57,-0.06,0.08,-0.03,rock
112,75,113,142,101,-8.41,1.53,-5.67,-0.14,-0.07,0.04,rock
113,73,114,142,101,-8.01,1.48,-5.52,-0.11,-0.09,0.05,rock
112,71,114,143,104,-8.20,1.72,-5.45,-0.09,0.04,-0.01,rock
113,81,114,143,104,-8.23,1.66,-5.45,-0.12,-0.00,-0.03,rock
113,79,114,142,104,-8.42,1.47,-5.71,-0.12,-0.01,-0.02,rock
113,73,114,142,104,-8.30,1.51,-5.48,-0.14,-0.02,0.03,rock
113,80,114,143,105,-8.29,1.54,-5.54,-0.10,0.00,0.02,rock
113,76,110,142,105,-8.38,1.61,-5.63,-0.09,0.02,0.04,rock
113,74,111,143,106,-8.20,1.66,-5.50,-0.11,0.00,0.03,rock
113,82,113,143,106,-8.06,1.70,-5.47,-0.12,-0.02,0.04,rock
113,73,113,143,106,-8.11,1.68,-5.56,-0.13,-0.04,0.00,rock
114,75,115,143,108,-8.44,1.61,-5.69,-0.13,0.00,0.05,rock
113,85,114,143,108,-8.04,1.54,-5.60,-0.15,0.01,0.02,rock
113,71,114,142,108,-8.69,1.78,-5.62,-0.20,0.11,0.11,rock
113,76,114,143,109,-8.07,1.76,-5.52,-0.14,0.26,0.20,rock
113,85,114,142,109,-8.26,2.08,-5.83,-0.21,0.10,0.22,rock
113,72,114,142,109,-8.07,2.29,-6.14,-0.21,0.30,0.31,rock
113,77,115,142,109,-6.91,2.48,-5.53,-0.17,-0.30,0.17,rock
113,82,114,142,109,-8.10,2.61,-5.56,-0.19,-0.24,0.16,rock
113,71,114,142,110,-8.61,2.52,-5.20,-0.18,-0.04,0.13,rock
113,79,115,142,111,-7.48,2.73,-5.12,0.01,0.07,-0.11,rock
115,77,113,142,80,-8.41,1.97,-5.17,-0.01,0.03,0.10,rock
115,74,114,143,89,-8.37,2.21,-5.23,-0.08,0.19,0.10,rock
116,81,114,143,96,-8.97,1.73,-5.88,-0.07,0.44,-0.11,rock
115,74,114,142,98,-8.31,2.26,-5.06,-0.09,0.06,-0.07,rock
116,75,115,143,100,-8.54,2.06,-5.27,-0.02,0.04,-0.12,rock
115,84,114,143,99,-7.92,1.95,-5.07,-0.03,-0.09,-0.05,rock
115,72,114,143,99,-7.95,1.98,-5.47,-0.11,-0.13,0.05,rock
116,75,115,144,99,-8.15,1.90,-5.11,-0.25,-0.08,0.04,rock
115,86,114,143,100,-8.39,1.83,-5.06,-0.18,-0.04,0.06,rock
115,71,114,143,100,-7.94,2.05,-4.91,-0.00,0.10,-0.00,rock
116,77,115,144,100,-8.10,1.74,-5.31,-0.09,-0.02,0.03,rock
115,83,115,143,101,-8.05,1.95,-5.30,-0.07,-0.07,0.17,rock
115,71,115,143,101,-8.26,2.10,-5.18,-0.15,0.01,0.10,rock
116,77,116,144,101,-7.93,2.30,-5.30,-0.13,0.06,0.01,rock
115,82,116,143,101,-7.79,2.38,-5.27,-0.19,-0.10,-0.10,rock
